name,description,website,projects,potential,more
TASNOVA CONCRET BLOCK LTD.,"A Concrete Products Manufacturer In Bangladesh. Gcb Starts Its Journey In 2020 At Savar, Bangladesh, And Still Delivering Products.",https://www.gcbbd.com,manufacturing of durable concrete blocks that are 100% waterproof and environmentally friendly and has manufacturing units in multiples location inside Bangladesh.,partner,
ADTL reale state,A Quality real estate developer working on projects since 1985.,https://adtlrealestate.com/,"Developing quality infrastructure and real estate projects and currently building The first major international smart city. Working on residential, commercial, and investor real estate projects.",customer,
Bangladesh Building Systems Ltd.,Bangladesh based company working on quality pre-Engineered steel building especially in the industrial sector.,https://www.bbspeb.com/,"Product range includes buildings for factories, warehouses, offices, showrooms, and residential structures. BBS has the capacity to produce 15,000 metric tons of steel building products and install 4,000,000 square feet of floor area annually.",partner,
I-Mart Engineering Limited,"formed in 2018, focused on the growth of the construction industry in Bangladesh. They are involved in various government, local, and multinational projects.",http://imartconstruction.com/,"Works on Engineering Procurement & Construction (EPC), Logistic Support, Project Equipment import-export, Construction, and Equipment Rental.",customer,
Icon Engineering Services," launched late in 1991specializes in soil and foundation services, including Bored Pile Construction, Driven Pile Installation,",http://www.iconengg.com/,"Construction of bored rc piles for power plants, bridges, and airport expansion projects, pile construction driven pile installation, geotechnical survey pile, load testing qc and qa tests for pile.",customer,
PRAN-RFL group,"started its journey with cast iron (CI) products in 1981. The initial main objective was to ensure pure water and affordable irrigation instruments for improving rural life. Today the company has its wide ranges of CI products like pumps, tube wells, bearings, gas stoves, etc. and has achieved prestige as the largest cast iron foundry and light engineering workshop in Bangladesh. ",https://rflbd.com/,"wide ranges of CI products manufactured by the company like pumps, tube wells, bearings, gas stoves, etc. and has achieved prestige as the largest cast iron foundry and light engineering workshop in Bangladesh. ",partner,
Karim Group,"built a strong reputation in the country by delivering quality service, on time project completion and maintaining best possible construction standard since its foundation in 1991",https://www.karimgroup.com/,"Works on Construction, Dredger, Marine, Shipping, Transport, Energy, Bricks  ",customer,
Buildstone Construction co.,"offers a range of construction services, from renovations to large-scale projects, incorporating digital technology and sustainability practices.",https://buildstonebd.com/,"Creating innovative construction solutions including Civil Construction, Mechanical Construction, Real Estate, Supply, and Project Management and specialize in heavy mechanical and plumbing construction.",customer,
Solar Electro Bangladesh,founded in 2010 providing renewable & alternative energy in Bangladesh especially for the domestic and commercial sectors,http://solarelectrobd.com/,"leading Importer of Solar Panel, Consumer Electronics, CPVC Pipe & Fittings, Solar Charge Controller, Battery, On Grid & Off Grid Inverter, Solar Street Light & Solar related all Products, LED Bulb & Tube, Energy Saving FAN, Prepaid Meter etc. and also Exports Ship Breaking Products, Jute items to New Zealand, USA, Japan, Germany and England.",customer,
Edison Group,founded in 2009 with main purpose of constructing luxurious residential real estate projects,https://edisonrealestatebd.com/,"Provides a unique urban living experience with an enthralling lakeside view, comfort while maintaining affordability and quality for customers, sublime comfort and deluxe living.",customer,
Sheltech (Pvt.) Ltd.,Sheltech has 34 years of experience in building over 3800 apartments in Dhaka city. First real estate company in Bangladesh to be awarded the ISO 9001:2015 certificate.,https://sheltech-bd.com/,Continuously working on real estate projects and currently planning for 6 new projects.,customer,
GLG Assets Ltd.,A fast-growing real estate company established in Bangladesh in 2016. A member of REHAB and also an enlisted real estate company of RAJUK.,https://glgassets.com/,multiple upcoming real estate projects in multiple location to be established.,customer,working on a lot of porjects thats need building material
Navana Real Estate Ltd.,"has been in the real estate market since 2002 delivering  residential, commercial and condominium properties across Dhaka and Chittagong.",https://navana-realestate.com/,"From architecture to construction, engineering and interior finishes, starting projects from A to Z.",customer,
ASSURE GROUP,"Founded in 2007, ASSURE GROUP is engaged in designing & developing luxurious housing & commercial projects, tourism, building construction services, health and agriculture industry.",https://www.assuregroupbd.com/,"multiple residential, commercial, and integrated real estate projects have been constructed and 35 upcoming in future.",customer,working on a lot of porjects thats need building material
Bashundhara Group,"started operation as a real estate venture known as ""Bashundhara"" in 1987",https://www.bashundharagroup.com/,"bashundharahousing for real state development is a part of bashundhara group that works in residential, shopping centers, educational institutions, sports complex, and hospitals construction.",customer,
ABC REAL ESTATES,A construction company established in 1972 with a vision to be a premier name in the industry.,https://abcreal.com.bd/,Multiple residential and commercial real estate projects are upcoming.,customer,
Anwar Landmark Limited,"Established in 2001 as the company's real estate. Anwar Cement, Anwar Ispat, A-1 Polymer, Anwar Galvanizing, Anwar Cement Sheet are part of Anwar Landmark Limited is an ISO 9001:2008 certified business member of REHAB.",https://anwarlandmark.com/,Multiple residential and commercial real estate projects are upcoming.,customer,working on a lot of porjects thats need building material
Shanta Holdings Ltd.,"started its journey in 1988 in the ready-made garment (RMG) sector and became one of the forerunners in RMG export by establishing leading industries such as Shanta Garments Ltd, Shanta Industries Ltd, Shanta Washworks Ltd, GDS Chemicals Ltd and Shanta Denims Ltd",https://shantaholdings.com/,multiple upcoming real estate projects in multiple location to be established.,customer,working on a lot of porjects thats need building material
Bay Developments Ltd.,"market leader in high-end real estate offering premium services, amenities, and properties tailored to affluent clientele.",https://baydevelopments.com/,"commercial, residential, retail real estate projects.",customer,
Rangs Properties Limited,"established in 1996 with mission to provide utmost sincerity and the best designs into Luxury Residences, Residential Areas, Condos, Houses or any other property",https://rangsproperties.com/,"commercial, residential real estate completed, ongoing, and flagship projects.",customer,working on a lot of porjects thats need building material
Rahim Group,Rahim Group has over 60 years of experience in the steel industry and is committed to customer satisfaction through product excellence and timely delivery.,https://rahimgroup.com.bd/,"provide products like Deformed Bar, Angel, Channel, Shaft/Round Bar, Flat Bar, and more.",partner,
NDE Steel Structures,started its journey in 1982 as a private Limited Company to make a significant contribution in the construction sector of the country.,https://steel.ndebd.com,"specialized in pre-engineered building, roof and wall panel, standard farming system, structural sub systems.",partner,
Haque Specialized Group,Established in 1985 and Bangladesh based company specialized in the steel industry with a complete composite manufacturing setup,http://hsg.com.bd/,"steel production key player, power plant that provide high fuel efficiency and minimize transmission losses.",partner,
Hitech Steel & re-Rolling Mills,Established in the 1980s focusing on steel production and infrastructure solutions.,https://hitech-bd.com/,"produces deformed iron bars with American, British, Japanese, and Bangladesh standards.",customer,
KY Steel Mills,One of the first world-class galvanized iron sheets manufacturing company in Bangladesh established in the year 1989 holding 18% of the total flat steel market of Bangladesh. total yearly sales of KY Steel is $180 million with around 1323 employees.,https://www.kysteel.com.bd/,"works on CR Coil, GCI Sheets, Color Coated Sheets, CRFH, CRCA. Exports to 22 countries, present in all 64 states of Bangladesh.",partner,
Structural Engineering Ltd.,Started its Journey in the year 2014and emergerd as one of the leading Prefabricated Steel Building manufacturing company in Bangladesh,https://steelsel.com/,"projects include buildings like snacks, jute, pipe factories, and commercial buildings.",customer,
GK Group Ltd.,Corporated in Chittagong in 2009 is engaged in manufacturing stainless steel tubes & pipes using high precision technology,https://www.gkgroupbd.com/,"products for dairy plants, top-notch exhaust systems., high-quality chemical plants., providing reliable solutions for food plants..",partner,
Univend Structural Steel Ltd.,A basic contracting firm in Bangladesh will provide you all kind of metal and civil construction related solution.,https://univendsteel.com/,"produce building material and provides services like civil construction, structural design, metal buildings solutions and more.",partner,
EVERGREEN TRADING INTERNATIONAL LTD.,Founded in 1995 as a dynamic trading company in Bangladesh specializing in exclusive global brands of building materials.,https://www.evergreen-aeon.com/,Introducing most exclusive Global brands of Building materials like Bathroom wares and Kitchen fittings to the Bangladesh market in and providing European Standard Bathroom and Kitchen solutions,partner,can help us get into the market with our brand
Concord Ltd.,"With over 49  years of experience, Concord is Bangladesh ’s leading real estate and construction conglomerate.",https://concordrealestatebd.com/,"1200 completed real estate projects, multiple ongoing and upcoming projects.",customer,working on a lot of porjects thats need building material
Sanmar Properties,"Founded in 1999, Sanmar Properties has become a pioneer in residential, commercial and shopping mall development, as well as, land subdivision development",https://mysanmar.com/,"Luxury, premium, affordable residential real estate development, shopping malls and large scale projects.",customer,
Mir Akhter Hossain Limited,"Over 40 years of experience in quality construction projects with International partners including U.K, New Zealand, USA and a lot more.",https://mirakhter.com/,"Specializes in various construction aspects including Civil, Sanitary & Plumbing, Electro-Mechanical works. Airport, roads, highway, railway and more mega construction projects.",customer,"A key player, works on mega projects"
Mazid Sons Construction Ltd.,"A private limited company was established in the year 1976, MSCL has earned the reputation of one of the leading construction firm of the country, capable to undertake any kind of civil, electrical & mechanical Engineering projects.",https://mazidsons.com/,"Current client list includes Bangladesh Army, Bangladesh Air force, Bangladesh Navy, Water Development Board (WAPDA), Roads and highways (R&H), Public Works Division (PWD), Border Guard Bangladesh (BGB), Different University and many other large local Organization/companies.",customer,"A key player, works on mega projects"
Western Engineering (Pvt.) Ltd.,"Established in 1998 as a construction company focusing on mega projects, successfully completed 66 different projects worth approximately BDT 3800 Crores and currently 4500 employees are working relentlessly on 52 dynamic ongoing projects valued approximately BDT 4000 Crores in Bangladesh.",https://www.westernengineeringbd.com/,"Construction of hydraulic structures, vital water control systems including regulators and embankments, sturdy bridges, well-crafted roads and highways in Bangladesh.expanded into various sectors including cement, jute products, geo-textiles, renewable energy, and eco-friendly initiatives.",customer,"A key player, works on mega projects"
Rupayan Group,"Established in 1989, known for its diversification in businesses including real estate, garments, and shipping.",https://www.rupayanhousingestateltd.com/,Multiple residential and commercial real estate projects are upcoming.,customer,working on a lot of porjects thats need building material
SUVASTU PROPERTIES LTD,A real estate entrepreneur in the development Industry for the past 25 years who designs and helps to create great experiences and journeys for their clients,https://www.suvastuproperties.com/,Multiple residential and commercial real estate projects are upcoming.,customer,working on a lot of porjects thats need building material
Bauwerk Ltd,A Hilti authorised distributor for Bangladesh.,https://bauwerk.ltd/,"Hilti ditributor and provides a range of services, software, and solutions for building construction professionals.",partner,
Building a Safer Nation (BSRM),"leading steel manufacturing company in Bangladesh, known for supplying steel for major national landmarks and infrastructures. employing advanced European technology to ensure high-quality production.",https://bsrm.com/,"the Padma Bridge, Rooppur Neuclear Power Plant, Hatirjheel Project, Zillur Rahman Flyover, Mayor Hanif Flyover and Shah Amanat Bridge were built with BSRM.",partner,"A key player, works on mega projects"
Abul Khair Steel,"Abul Khair Group, founded in 1953, is a trusted name in the corporate world of Bangladesh with a diverse business portfolio including steel, cement, concrete, consumer goods, and more.",http://abulkhairsteel.com/,"maintains an extensive network of distributors, dealers, and sales forces, and offers pre and post-sale customer assistance.",partner,A steel production key player  in South-East Asia
GPH Ispat Limited,"Incorporated in Bangladesh on 2006 as a leading steel manufacturer in Bangladesh, producing various types of steel products including structural bars and steel billets.",https://www.gphispat.com.bd/,"Steel is made in Quantum Electric Arc Furnace..precise testing machines of incoming raw materials, process analysis, and development.",partner,"A steel production key player  in South-East Asia, uses quantum technology and advances mahcines with high standards"
PHP Family,"founded in 1969 with a vision for national prosperity with over 30 companies in diverse sectors like Steel, Glass, Textiles, real estate, Power, and more.",https://phpfamily.com/,"With a Production capacity of 250,000 tonnes per year, the company exports its products to the foreign market",partner,
